Model,Dataset,PSNR,SSIM,MS-SSIM,LPIPS,NIQE,MUSIQ,TOPIQ-NR,URanker,UCIQE,UIQM,Latency(ms),Params(M),GPU Mem(MB)
OurV1,test-RUIE-unpaired,,,,,4.652366311262216,33.22844341754913,0.34655997503548863,1.7111266052164138,3.653191374540329,6.490007857084274,217.83825134277345,5.666914,2278.14599609375
OurV1,test-UIEB-unpaired,,,,,6.487808081800803,48.22858165105184,0.505441836019357,1.63289168185244,4.723502133289973,6.385801136493683,217.9532725016276,5.666914,2278.14599609375
OurV2,test-EUVP,27.424878740310668,0.9025716064776305,0.9826338307574315,0.16366619113832712,5.705575017815323,43.9460111618042,0.41697052627801895,1.7130970853194594,5.648419843912125,5.704881138801575,46.287801055908204,7.913092,1666.61474609375
OurV2,test-LSUI,26.746335053443907,0.9322218470012217,0.9848786782312878,0.13272741972468793,5.481421076149257,41.380407667160036,0.42519858211278916,1.7407886371016503,4.611788546442986,5.995499305725097,46.25857559204101,7.913092,1666.61474609375
OurV2,test-UIEB,22.48501663208008,0.9153901530019648,0.9620251844178507,0.14293963640100427,5.143049895006573,48.312257809109155,0.5373226430681016,1.9175454967551762,5.045314327875773,5.9853793409135605,46.28445197211372,7.913092,1666.61474609375
OurV2,test-EUVP-unpaired,,,,,5.490763826502734,40.44915648460388,0.4151946695148945,1.381339678294753,4.940839056968689,7.034531463384628,46.16739059448243,7.913092,1666.61474609375
OurV2,test-RUIE-unpaired,,,,,5.359848715039644,32.26588028907776,0.3565075474604964,1.5812071181833744,3.3104457092285156,6.626264423131943,46.10105606079103,7.913092,1666.61474609375
OurV2,test-UIEB-unpaired,,,,,6.66273855867646,44.92760372161865,0.48237285763025284,1.257265640112261,4.432983034849167,6.848019297917684,46.110418701171874,7.913092,1666.61474609375
PUIE-Net,test-EUVP,18.832085571289063,0.8419700439592694,0.944814182341964,0.2900929133594036,5.466743587304593,37.752116203308105,0.3635338744521141,2.2232879901397973,4.446511542201042,5.880155054330825,74.36320648193359,16.115707,1850.880859375
PUIE-Net,test-LSUI,21.335769143104553,0.9038881626288887,0.9636814512243694,0.20443041117861868,5.196360838127198,38.92966540813446,0.4072131255269051,1.9430906293541192,4.075768699645996,6.019822753667832,73.29757843017579,16.115707,1850.880859375
PUIE-Net,test-UIEB,22.049878131018744,0.9351584340597306,0.9605455384009427,0.11364697869867087,5.2330861990158235,50.85841653611925,0.5691949238379796,1.7664174725612005,3.8638358487023248,6.202426783243815,72.16812036302355,16.115707,1850.880859375
PUIE-Net,test-EUVP-unpaired,,,,,5.619323928237631,40.60810390472412,0.431929831802845,1.5459610945661553,4.32387146949768,6.8631946098804475,73.13037170410156,16.115707,1850.880859375
PUIE-Net,test-RUIE-unpaired,,,,,4.666406510069727,32.02958791732788,0.34995590560138223,1.4478406885452568,3.3986091566085816,6.808989464044571,73.12967712402344,16.115707,1850.880859375
PUIE-Net,test-UIEB-unpaired,,,,,6.485730827325466,46.12599776585897,0.5051641861597697,1.2040767167384425,3.6908866544564565,7.398983716964722,69.58299522399902,16.115707,1850.880859375
SS-UIE,test-EUVP,29.784775066375733,0.9037559102912982,0.9827807377113377,0.1382249161694199,5.2135043056481685,43.70157766342163,0.405807947665453,1.656817698162049,5.963156663775444,5.673274486064911,86.82731994628907,20.633645,1244.583984375
SS-UIE,test-LSUI,27.683766431808472,0.9358799562279667,0.9812523097813474,0.12416852747322991,5.249330253886282,41.83431810379028,0.4282214817404747,1.7394571007788182,4.712261191010475,5.898168408274651,86.79386169433592,20.633645,1244.583984375
SS-UIE,test-UIEB,23.652198791503906,0.9384235607436217,0.9674801005111144,0.12046502536783615,5.327444509918414,51.18134121365017,0.5588867608043883,2.0186632338497374,4.844228357738919,5.789268702930874,87.00733015272353,20.633645,1244.583984375
SS-UIE,test-EUVP-unpaired,,,,,5.1927880387941086,42.410435333251954,0.4375346644222736,1.2496655927423854,4.902075862884521,7.078912900686264,86.91824798583981,20.633645,1244.583984375
SS-UIE,test-RUIE-unpaired,,,,,5.002926852110817,34.60370129585266,0.36851298980414865,1.578440696047619,3.069534009099007,6.604676325321197,86.89316162109374,20.633645,1244.583984375
SS-UIE,test-UIEB-unpaired,,,,,6.649657408367232,46.34027894337972,0.5033390978972118,1.220109581357489,4.210936405261358,6.706849519411723,87.0481689453125,20.633645,1244.583984375
Shallow-UWnet,test-EUVP,22.817706274986268,0.8714854265213609,0.9744985630910583,0.3004932044073939,7.525693591078996,38.58412063598633,0.3797518002986908,1.8366380480211228,5.006714562773705,6.0279337394237515,124.93938079833981,0.219456,1500.693359375
Shallow-UWnet,test-LSUI,20.276980457305907,0.8350560594453623,0.9262699212319135,0.3371231848374009,6.867107462274828,37.11936621665954,0.3639987762272358,1.1539270213479176,4.017994455695153,6.9582681667804716,124.93036895751956,0.219456,1500.693359375
Shallow-UWnet,test-UIEB,17.022846264309354,0.747387239954731,0.8425575680856934,0.3647488494714101,5.821307323435454,42.986159006754555,0.4250447220272488,0.8713661497665777,4.046024489402771,7.530592372682359,122.41854839324952,0.219456,1500.693359375
Shallow-UWnet,test-EUVP-unpaired,,,,,7.163858602680303,36.02158553123474,0.36014933705329893,0.7366530282911845,3.9334009650349615,8.690870535373687,124.89963195800783,0.219456,1500.693359375
Shallow-UWnet,test-RUIE-unpaired,,,,,6.848640201371361,32.01448016643524,0.3244524134323001,0.13159351947251707,2.1125660890340807,8.773537859916686,124.92154052734375,0.219456,1500.693359375
